,count
2020-03-09 16:15,1
2020-03-09 18:00,2
2020-03-09 19:00,4
2020-03-09 19:15,3
2020-03-09 19:20,7
2020-03-09 19:25,4
2020-03-09 19:30,7
2020-03-09 19:35,5
2020-03-09 19:40,4
2020-03-09 19:45,1
2020-03-09 20:10,1
2020-03-09 20:30,1
2020-03-09 20:35,1
2020-03-09 21:00,7
2020-03-09 21:15,3
2020-03-09 21:30,4
2020-03-09 22:00,1
2020-03-09 23:00,1
2020-03-10 00:00,1
2020-03-10 1:00,1
2020-03-10 2:00,1
